# W=1920 H=1080
x,y
373.704,604.740
375.730,605.638
377.758,606.532
379.789,607.417
381.789,608.267
383.749,609.051
385.696,609.809
387.650,610.551
389.606,611.287
391.569,612.024
393.531,612.776
395.492,613.534
397.454,614.289
399.479,615.079
401.381,615.725
403.348,616.403
405.343,617.085
407.365,617.757
409.396,618.404
411.428,619.016
413.455,619.617
415.489,620.191
417.522,620.769
419.563,621.322
421.608,621.838
423.660,622.338
425.719,622.820
427.791,623.271
429.870,623.686
431.954,624.108
434.039,624.528
436.131,624.915
438.273,625.290
440.464,625.671
442.658,626.013
444.846,626.336
447.035,626.658
449.230,626.965
451.432,627.255
453.641,627.529
455.922,627.800
458.212,628.048
460.512,628.274
462.810,628.472
465.052,628.617
467.349,628.746
469.669,628.842
471.969,628.919
474.250,628.981
476.532,629.046
478.821,629.126
481.119,629.199
483.415,629.263
485.717,629.311
488.013,629.346
490.566,629.409
493.113,629.458
495.653,629.490
498.193,629.522
501.076,629.612
503.968,629.693
506.861,629.774
509.704,629.838
512.505,629.898
515.265,629.931
518.032,629.979
520.813,630.027
523.598,630.055
526.372,630.087
529.139,630.103
531.905,630.118
534.601,630.101
537.306,630.101
540.005,630.117
542.711,630.149
545.409,630.166
548.024,630.159
550.555,630.127
553.080,630.081
555.604,630.032
558.122,629.968
560.639,629.903
563.151,629.826
565.664,629.751
568.174,629.670
570.689,629.599
572.949,629.503
575.289,629.390
577.635,629.294
579.975,629.181
581.970,629.003
583.951,628.794
585.925,628.568
587.893,628.326
589.859,628.080
591.807,627.822
593.754,627.562
595.744,627.272
597.735,626.986
599.738,626.696
601.744,626.413
603.747,626.124
605.755,625.846
608.097,625.427
610.442,624.985
612.832,624.518
615.229,624.066
617.628,623.621
620.031,623.185
622.568,622.713
625.097,622.220
627.623,621.720
630.135,621.188
632.644,620.647
635.147,620.094
637.639,619.513
640.125,618.915
642.603,618.302
644.995,617.689
647.441,617.021
649.916,616.327
652.417,615.601
654.921,614.885
657.422,614.159
659.911,613.406
662.388,612.623
664.873,611.829
667.348,611.008
669.768,610.188
672.179,609.346
674.577,608.475
677.016,607.553
679.449,606.614
681.871,605.651
683.943,604.796
686.004,603.915
688.015,603.044
690.081,602.104
692.201,601.088
694.308,600.042
696.278,599.024
698.245,598.001
700.210,596.972
702.179,595.952
704.146,594.928
706.116,593.911
708.087,592.895
710.056,591.877
712.022,590.849
713.991,589.831
715.891,588.833
717.790,587.817
719.695,586.799
721.630,585.742
723.563,584.682
725.505,583.643
727.449,582.608
729.391,581.569
731.335,580.536
733.279,579.500
735.345,578.305
737.393,577.088
739.386,575.886
741.369,574.661
743.345,573.420
745.309,572.149
747.256,570.860
749.336,569.364
751.345,567.903
753.260,566.463
755.570,564.531
757.897,562.542
760.260,560.485
762.642,558.376
765.015,556.245
767.381,554.097
769.736,551.920
772.084,549.729
774.413,547.513
776.737,545.286
779.185,542.902
781.628,540.507
784.032,538.126
786.381,535.745
788.691,533.380
790.993,530.997
793.286,528.592
795.571,526.170
797.839,523.726
800.097,521.258
802.348,518.776
804.445,516.421
807.187,513.293
809.928,510.164
812.659,507.030
815.389,503.897
818.119,500.763
820.861,497.635
823.457,494.683
826.049,491.720
828.652,488.762
830.843,486.275
832.979,483.810
835.044,481.385
841.197,476.923
847.336,472.450
853.493,467.970
859.622,463.478
865.734,458.980
871.831,454.475
877.882,449.951
883.770,445.549
889.628,441.135
895.469,436.713
901.279,432.279
907.063,427.834
912.824,423.380
918.563,418.915
924.288,414.446
930.011,409.976
935.687,405.486
941.334,400.984
946.958,396.473
951.919,392.728
956.834,388.964
961.731,385.193
966.596,381.409
971.434,377.613
976.225,373.798
980.988,369.972
985.727,366.135
990.458,362.295
995.170,358.448
999.891,354.604
1004.619,350.762
1006.945,349.180
1009.285,347.610
1011.612,346.057
1013.956,344.512
1016.298,342.965
1018.640,341.419
1021.004,339.881
1023.386,338.352
1025.790,336.831
1028.208,335.316
1030.668,333.818
1033.143,332.327
1035.629,330.840
1038.139,329.363
1040.651,327.887
1043.176,326.417
1045.747,324.965
1048.356,323.546
1051.021,322.171
1054.016,320.912
1057.065,319.695
1060.151,318.505
1063.276,317.347
1066.438,316.224
1069.656,315.142
1072.912,314.095
1076.290,313.118
1079.701,312.179
1083.160,311.298
1086.657,310.471
1090.188,309.682
1092.025,308.750
1093.880,307.864
1095.749,307.012
1098.513,306.372
1101.315,305.785
1104.155,305.240
1107.031,304.733
1109.986,304.293
1112.968,303.902
1115.966,303.575
1118.975,303.309
1122.231,303.182
1125.555,303.146
1128.890,303.177
1132.250,303.271
1135.619,303.432
1138.998,303.663
1142.460,303.953
1145.925,304.280
1149.102,304.565
1152.281,304.889
1155.467,305.260
1158.660,305.667
1161.860,306.103
1165.078,306.578
1169.138,307.270
1173.115,307.955
1177.089,308.678
1181.054,309.425
1185.014,310.183
1188.971,310.980
1193.031,311.835
1197.082,312.710
1201.186,313.631
1204.532,314.437
1207.871,315.260
1211.211,316.114
1214.550,317.002
1217.912,317.911
1221.351,318.848
1224.786,319.791
1228.219,320.742
1231.431,321.615
1234.595,322.470
1237.762,323.319
1241.692,324.351
1245.624,325.375
1249.559,326.393
1253.415,327.393
1257.319,328.409
1261.222,329.425
1265.126,330.442
1269.030,331.458
1272.931,332.481
1277.070,333.578
1281.186,334.691
1284.463,335.626
1287.800,336.592
1291.134,337.562
1294.471,338.525
1297.887,339.509
1301.306,340.486
1304.616,341.421
1307.927,342.352
1311.178,343.258
1315.072,344.347
1318.967,345.432
1322.860,346.523
1326.835,347.642
1330.735,348.733
1334.552,349.812
1338.371,350.885
1342.199,351.938
1346.022,353.003
1349.845,354.068
1353.668,355.132
1356.807,356.036
1360.092,356.971
1363.376,357.907
1366.659,358.843
1369.973,359.786
1373.363,360.754
1376.751,361.727
1380.135,362.711
