# W=1920 H=1080
x,y
707.365,606.395
709.303,605.441
711.244,604.494
713.187,603.553
715.130,602.611
717.012,601.712
718.916,600.808
720.852,599.873
722.832,598.877
724.842,597.846
726.893,596.747
728.951,595.610
730.999,594.449
733.039,593.269
735.068,592.063
737.091,590.841
739.283,589.407
741.372,588.020
743.402,586.641
745.397,585.224
747.372,583.781
749.532,582.108
751.671,580.405
753.802,578.684
755.865,577.003
758.177,575.026
760.501,572.992
762.865,570.887
765.267,568.711
767.701,566.501
770.180,564.232
772.685,561.920
775.182,559.585
777.669,557.227
780.145,554.844
782.613,552.441
785.072,550.015
787.505,547.582
789.898,545.163
792.236,542.776
795.093,539.810
797.887,536.886
800.665,533.979
803.444,531.072
806.238,528.148
809.081,525.176
811.940,522.188
814.610,519.389
817.278,516.584
819.944,513.773
822.632,510.972
825.320,508.171
827.792,505.570
830.252,502.964
832.790,500.237
835.310,497.497
843.526,493.676
851.704,489.886
859.810,486.134
867.854,482.425
875.828,478.718
883.723,475.042
891.557,471.387
899.378,467.726
907.169,464.053
914.932,460.368
922.674,456.675
930.393,452.972
938.100,449.264
945.762,445.537
953.395,441.799
960.443,438.648
967.472,435.490
974.460,432.315
981.418,429.128
988.328,425.943
995.164,422.796
1001.922,419.637
1008.646,416.464
1015.308,413.262
1021.953,410.053
1028.618,406.856
1035.237,403.636
1041.850,400.414
1048.460,397.191
1054.993,394.089
1061.573,391.009
1062.174,389.270
1062.776,387.531
1063.394,385.799
1064.060,384.090
1064.743,382.388
1065.445,380.693
1066.175,379.010
1066.918,377.332
1067.691,375.667
1068.492,374.014
1069.315,372.369
1070.160,370.734
1071.016,369.103
1071.923,367.503
1072.866,365.932
1073.845,364.390
1074.867,362.884
1075.936,361.411
1077.091,359.985
1078.288,358.595
1079.523,357.246
1080.831,355.953
1082.196,354.709
1083.636,353.522
1085.192,352.404
1086.747,351.320
1088.378,350.308
1090.235,349.385
1092.135,348.518
1094.048,347.680
1095.947,346.872
1097.887,346.118
1099.864,345.417
1102.649,344.956
1105.484,344.557
1108.375,344.208
1111.322,343.941
1114.281,343.736
1117.252,343.592
1120.236,343.510
1123.224,343.505
1126.271,343.584
1129.325,343.735
1132.391,343.949
1135.574,344.252
1138.759,344.607
1141.949,345.006
1145.142,345.444
1148.414,345.960
1151.643,346.502
1154.877,347.075
1158.115,347.672
1161.348,348.311
1164.579,348.988
1167.810,349.698
1171.905,350.649
1175.994,351.617
1180.135,352.647
1184.090,353.663
1188.039,354.695
1191.982,355.776
1195.914,356.880
1199.836,358.009
1203.799,359.174
1207.114,360.216
1210.355,361.249
1213.563,362.297
1216.739,363.331
1219.912,364.371
1223.082,365.419
1226.252,366.468
1229.509,367.516
1232.718,368.548
1235.933,369.564
1239.150,370.577
1242.255,371.554
1245.877,372.626
1249.851,373.850
1253.825,375.075
1257.724,376.269
1261.621,377.469
1265.510,378.686
1269.396,379.912
1273.287,381.128
1277.173,382.353
1281.057,383.584
1283.984,384.584
1287.153,385.651
1290.261,386.678
1293.366,387.709
1296.472,388.741
1299.583,389.757
1302.776,390.788
1306.744,392.124
1310.664,393.443
1314.441,394.707
1318.220,395.969
1322.027,397.254
1325.870,398.548
1329.713,399.842
1333.561,401.123
1337.407,402.411
1341.170,403.685
1344.936,404.953
1348.748,406.244
1352.556,407.545
1356.362,408.849
1359.865,410.115
1363.057,411.260
1366.250,412.405
1369.438,413.561
1372.626,414.716
1375.816,415.868
1379.003,417.026
1382.269,418.204
1386.268,419.640
1390.267,421.075
1394.266,422.510
1398.024,423.879
1401.846,425.282
1405.668,426.684
1409.489,428.087
1413.311,429.491
1417.135,430.904
1420.188,432.004
1423.242,433.101
1426.343,434.215
1429.492,435.348
1432.658,436.481
1435.836,437.621
1439.018,438.755
1442.194,439.899
1445.369,441.047
1448.545,442.195
1451.798,443.365
1455.000,444.526
1458.200,445.693
1462.160,447.112
1465.910,448.467
1469.618,449.792
1473.390,451.150
1477.163,452.504
1480.936,453.859
1484.714,455.202
1488.493,456.543
1492.192,457.866
1495.214,458.930
1498.383,460.038
1501.557,461.135
1504.737,462.216
1507.856,463.257
1510.980,464.284
1514.109,465.300
1517.238,466.316
1520.368,467.316
1523.503,468.300
1526.639,469.284
1529.729,470.245
1532.778,471.173
1535.781,472.079
1538.730,472.982
1541.711,473.885
1544.763,474.775
1548.110,475.666
1551.461,476.551
1554.733,477.413
1558.009,478.268
1561.293,479.101
1563.870,479.672
1566.449,480.236
1569.028,480.801
1571.544,481.330
1574.069,481.836
1576.604,482.320
1579.136,482.809
1581.671,483.293
1584.292,483.747
1586.862,484.192
1589.371,484.563
1591.880,484.932
1594.389,485.303
1596.897,485.679
1599.396,486.073
1601.896,486.466
1604.398,486.854
1606.820,487.225
1609.235,487.612
1611.651,487.996
1614.067,488.380
1616.483,488.767
1618.898,489.153
1621.320,489.524
1623.742,489.878
1626.126,490.219
1628.252,490.505
1630.384,490.780
1632.522,491.038
1634.666,491.280
1636.816,491.510
1638.917,491.741
1641.020,491.967
1643.123,492.192
1645.233,492.402
1647.338,492.623
1649.435,492.832
1651.538,493.026
1653.641,493.187
1655.664,493.362
1657.690,493.499
1659.639,493.644
1661.587,493.758
1663.535,493.871
1665.486,493.947
1667.441,493.979
1669.414,493.989
1671.418,493.940
1673.454,493.827
1675.490,493.682
1677.525,493.508
1679.564,493.322
1681.600,493.144
1683.642,492.951
1685.685,492.725
1687.701,492.500
1689.688,492.264
1691.641,492.038
1693.583,491.788
1695.516,491.514
1697.435,491.208
1699.345,490.880
1701.245,490.507
1703.134,490.095
1705.015,489.633
1706.866,489.121
1708.693,488.548
1710.498,487.936
1712.283,487.279
1714.057,486.592
1715.805,485.857
1717.524,485.087
1719.214,484.266
1720.884,483.375
1722.519,482.431
1724.096,481.439
1725.600,480.406
1727.023,479.325
1728.357,478.228
1729.617,477.123
1730.837,475.976
1731.982,474.787
1733.048,473.542
1734.056,472.216
1734.984,470.791
1735.838,469.325
1736.607,467.804
1737.297,466.244
1737.908,464.645
1738.465,463.006
1738.952,461.334
1739.358,459.642
1739.686,457.918
1739.931,456.177
1740.100,454.418
1740.188,452.640
1740.209,450.863
1740.213,448.783
1740.139,446.708
1739.975,444.634
1739.724,442.558
1739.397,440.482
1739.007,438.407
1738.549,436.333
1738.013,434.298
1737.410,432.268
1736.760,430.260
1736.073,428.283
1735.340,426.326
1734.574,424.382
1733.768,422.441
1732.913,420.508
1732.029,418.586
1731.111,416.688
1730.143,414.820
1729.137,413.028
1728.101,411.249
1727.041,409.447
1725.959,407.607
1724.852,405.760
1723.700,403.932
1722.518,402.117
1721.317,400.319
1720.088,398.541
1718.843,396.780
1717.577,395.033
1716.293,393.297
1714.998,391.566
1713.638,390.142
1712.278,388.718
1710.918,387.293
1709.550,385.882
1708.171,384.483
1706.778,383.091
1705.367,381.652
1703.954,380.213
1702.525,378.800
1701.092,377.396
1699.668,375.971
1698.216,374.542
1696.741,373.147
1695.239,371.774
1693.718,370.419
1692.194,369.073
1690.671,367.726
1689.147,366.380
1687.628,365.022
1686.104,363.675
1684.478,362.259
1682.853,360.892
1681.223,359.552
1679.556,358.192
1677.852,356.810
1676.099,355.380
1674.298,353.904
1672.460,352.405
1670.620,350.911
1668.779,349.419
1666.932,347.942
1665.009,346.443
1663.075,344.974
1661.135,343.517
1659.194,342.061
1657.125,340.526
1655.049,339.005
1652.877,337.490
1650.648,335.955
1648.376,334.376
1646.104,332.797
1643.827,331.230
1641.572,329.681
1639.256,328.092
1636.936,326.511
1634.617,324.929
1632.295,323.353
1629.918,321.779
1627.320,320.149
1624.712,318.546
1621.987,316.902
1619.355,315.382
1616.710,313.892
1613.951,312.358
1611.218,310.868
1608.410,309.350
1605.656,307.870
1602.966,306.420
1600.119,304.911
1597.267,303.415
1594.410,301.931
1591.473,300.413
1588.602,298.941
1585.685,297.446
1582.538,295.864
1579.326,294.252
1576.234,292.769
1573.131,291.317
1570.127,289.958
1567.157,288.664
1564.235,287.404
1561.304,286.167
1558.368,284.942
1555.348,283.708
1552.069,282.411
1548.799,281.093
1545.364,279.680
1541.918,278.230
1538.528,276.778
1535.357,275.382
1532.116,273.930
1528.907,272.495
1525.698,271.060
1522.415,269.576
1519.239,268.153
1516.057,266.761
1512.925,265.454
1509.732,264.193
1506.338,262.901
1503.126,261.720
1499.915,260.533
1496.701,259.356
1493.564,258.219
1490.074,256.949
1486.377,255.527
1482.916,254.178
1479.533,252.844
1476.162,251.460
1472.804,250.040
1469.410,248.582
1465.994,247.082
1462.572,245.595
1459.151,244.107
1455.730,242.619
1452.389,241.149
1449.257,239.778
1446.063,238.446
1442.973,237.231
1439.840,236.052
1436.699,234.894
1433.486,233.735
1430.349,232.622
1427.288,231.551
1424.149,230.460
1421.009,229.383
1417.882,228.277
1414.690,227.103
1411.554,225.909
1408.472,224.686
1405.568,223.525
1402.056,222.174
1398.507,220.819
1394.926,219.448
1391.342,218.083
1388.115,216.903
1385.134,215.917
1382.147,214.978
1379.134,214.086
1376.046,213.195
1372.951,212.324
1369.804,211.459
1366.557,210.588
1363.311,209.713
1360.073,208.818
1356.701,207.865
1353.334,206.901
1350.016,205.917
1346.750,204.918
1343.459,203.892
1340.069,202.855
1336.679,201.819
1333.352,200.803
1329.885,199.767
1326.421,198.770
1323.031,197.828
1319.635,196.937
1316.081,196.043
1312.483,195.162
1308.779,194.270
1305.024,193.369
1301.214,192.466
1298.024,191.727
1294.872,190.987
1291.765,190.234
1288.537,189.428
1285.245,188.546
1281.893,187.652
1278.530,186.763
1275.178,185.881
1271.804,185.014
1268.436,184.132
1265.146,183.284
1261.983,182.493
1258.511,181.693
1254.919,180.879
1251.454,180.140
1247.980,179.421
1244.509,178.696
1240.860,177.925
1237.288,177.177
1233.867,176.449
1230.387,175.691
1226.907,174.965
1223.485,174.245
1220.056,173.501
1216.532,172.706
1213.010,171.894
1209.636,171.120
1206.376,170.378
1203.044,169.611
1199.760,168.896
1196.442,168.190
1193.125,167.509
1189.796,166.857
1186.453,166.239
1183.229,165.674
1179.791,165.108
1176.417,164.538
1172.953,163.923
1169.490,163.273
1166.016,162.643
1162.433,162.026
1158.852,161.390
1155.064,160.681
1151.583,159.988
1148.215,159.326
1144.771,158.635
1141.335,157.928
1137.957,157.282
1134.563,156.684
1131.167,156.093
1127.683,155.503
1124.179,154.923
1120.672,154.315
1117.243,153.733
1113.820,153.135
1110.498,152.543
1107.242,151.943
1103.745,151.346
1100.248,150.782
1096.814,150.258
1093.295,149.701
1089.868,149.156
1086.433,148.607
1082.894,148.020
1079.359,147.421
1075.824,146.825
1072.563,146.292
1069.265,145.772
1065.990,145.290
1062.643,144.825
1059.348,144.370
1056.090,143.919
1052.783,143.467
1049.622,143.064
1046.396,142.660
1043.122,142.289
1039.862,141.963
1036.527,141.670
1033.191,141.347
1030.047,141.029
1026.904,140.708
1023.848,140.388
1020.876,140.077
1017.590,139.819
1014.242,139.577
1010.829,139.368
1007.338,139.191
1003.811,139.022
1000.453,138.861
997.023,138.682
993.637,138.509
990.286,138.340
986.864,138.157
983.405,137.948
979.982,137.782
976.525,137.622
973.073,137.449
969.623,137.272
966.205,137.093
962.859,136.900
959.579,136.700
956.352,136.499
953.116,136.353
949.847,136.257
946.272,136.224
942.722,136.208
939.214,136.176
935.492,136.132
931.832,136.083
928.165,136.051
924.436,136.016
920.663,135.982
916.826,135.996
912.919,136.041
909.277,136.048
905.636,136.032
902.013,135.988
898.421,135.946
894.816,135.914
891.250,135.865
887.755,135.802
884.327,135.774
880.945,135.774
877.628,135.806
874.357,135.865
871.160,135.913
867.585,136.026
863.998,136.167
860.409,136.280
856.827,136.378
852.990,136.500
849.108,136.664
845.150,136.831
841.217,136.960
837.292,137.056
833.667,137.105
830.017,137.137
826.306,137.159
822.831,137.159
819.316,137.149
815.748,137.165
812.240,137.206
808.775,137.263
805.364,137.296
802.014,137.320
798.718,137.346
795.159,137.411
791.575,137.487
788.017,137.546
784.518,137.594
781.059,137.659
777.596,137.747
773.644,137.824
769.687,137.888
765.725,137.939
761.756,138.008
757.754,138.073
754.097,138.073
750.405,138.040
746.648,138.040
742.849,138.085
739.298,138.125
735.793,138.157
732.355,138.196
728.966,138.219
725.516,138.252
722.141,138.278
718.827,138.326
715.471,138.406
711.979,138.519
708.538,138.613
705.159,138.693
701.513,138.807
697.818,138.920
694.066,139.049
690.271,139.162
686.409,139.251
682.830,139.293
679.265,139.317
675.670,139.351
672.005,139.400
668.291,139.480
664.509,139.553
661.169,139.628
657.775,139.708
654.335,139.794
650.828,139.875
647.282,139.971
643.730,140.084
640.148,140.229
636.566,140.341
633.029,140.407
629.502,140.439
625.975,140.439
622.448,140.439
618.643,140.464
614.907,140.465
611.100,140.482
607.243,140.498
603.438,140.493
599.794,140.470
595.811,140.434
591.826,140.369
588.111,140.279
584.448,140.199
580.844,140.102
577.239,140.005
573.634,139.941
570.027,139.915
566.477,139.891
562.968,139.866
559.528,139.834
556.132,139.746
552.811,139.633
549.543,139.542
545.996,139.493
542.502,139.455
539.074,139.423
535.718,139.407
532.255,139.420
528.857,139.437
525.523,139.453
522.189,139.473
518.842,139.522
515.497,139.566
512.077,139.582
508.942,139.553
505.874,139.521
502.865,139.478
499.903,139.429
496.992,139.381
494.094,139.340
491.524,139.340
488.948,139.356
486.365,139.356
483.775,139.340
481.160,139.324
478.556,139.345
476.022,139.378
473.542,139.426
471.069,139.522
468.593,139.626
466.127,139.739
463.651,139.875
461.178,140.004
458.697,140.114
456.556,140.163
454.409,140.191
452.268,140.175
450.132,140.116
448.176,140.005
446.220,139.893
444.256,139.796
442.077,139.891
439.904,140.004
437.725,140.143
435.626,140.321
433.527,140.556
431.428,140.831
429.335,141.120
427.243,141.410
425.141,141.701
423.018,142.051
420.872,142.456
418.732,142.875
416.601,143.314
414.474,143.765
412.380,144.233
410.322,144.694
